1011,248,3,2
1006,249,4,1
1012,249,1,3
1009,250,3,3
1009,250,4,1
1016,250,4,3
1032,250,0,3
1001,251,2,3
1002,251,3,0
1005,251,1,2
1005,251,1,0
1009,251,4,3
1012,251,1,2
1023,251,5,2
1025,251,5,0
1033,251,3,2
1036,251,4,1
1011,252,4,1
1019,252,5,2
1023,252,2,2
1028,252,1,3
1028,252,1,0
1032,252,2,3
1032,252,3,0
1023,253,1,2
1006,254,2,3
1022,254,4,0
1031,254,2,1
1035,254,2,3
1002,256,1,1
1012,256,2,2
1012,256,1,1
1040,258,3,1
1040,258,1,0
1006,259,2,1
1009,259,2,3
1009,259,3,0
1019,259,5,0
1024,259,4,2
1006,260,2,1
1007,260,4,2
1019,260,5,2
1006,261,4,2
1033,261,1,3
1036,261,4,2
1006,262,2,2
1006,262,3,1
1009,262,5,0
1032,262,1,2
1002,263,5,0
1019,265,3,2
1033,265,3,2
1006,266,4,2
1009,266,0,3
1009,266,2,2
1012,266,1,0
1026,266,5,3
1026,266,3,1
1001,267,4,1
1006,267,3,2
1009,267,3,3
1009,267,4,0
1012,267,1,3
1019,268,1,3
1019,268,1,1
1005,269,1,2
1006,270,2,0
1037,270,1,1
1003,271,1,2
1036,271,2,1
1009,272,2,3
1012,272,2,1
1002,273,1,2
1012,273,4,2
1019,273,5,3
1019,273,5,2
1019,273,5,0
1008,274,1,0
1009,274,5,0
1014,275,4,0
1026,275,1,1
1033,275,1,3
1006,276,1,1
1009,276,4,0
1019,276,5,3
1019,276,5,2
1019,276,5,1
1019,276,5,0
1026,276,1,2
1033,276,3,0
1006,277,2,2
1009,278,1,1
1019,278,1,1
1019,278,2,0
1023,278,2,2
1033,278,3,2
1006,279,1,3
1012,279,1,2
1014,279,1,0
1023,280,0,1
1009,281,1,0
1019,281,1,0
1020,281,1,2
1022,281,4,2
1009,282,2,0
1012,282,1,1
1019,282,2,2
1023,282,0,1
1033,282,5,3
1019,283,5,3
1019,283,5,2
1024,283,4,2
1029,283,1,2
1033,283,4,0
1009,284,1,1
1012,284,1,1
1012,284,1,0
1019,284,1,3
1033,284,3,0
1035,284,3,3
1039,284,2,1
1009,285,1,1
1009,285,2,0
1014,285,1,2
1019,285,1,3
1019,285,1,2
1041,285,1,2
1006,286,4,2
1010,286,3,1
1019,286,1,3
1033,286,4,2
1019,287,1,2
1033,287,5,2
1009,288,3,0
